Titles,Authors,arxiv_id,Category,Source,DOI_id,Citation_count,no of Authors,Title length
183,8,2408.12568,0,https://arxiv.org/pdf/2408.12591,10.1155/2020/8893749,6.0,2,56
419,159,2408.12568,0,https://arxiv.org/pdf/2408.12574,10.1007/s10458-016-9328-6,7.0,7,48
512,433,2408.12568,0,https://arxiv.org/pdf/2408.12568,10.1109/iscc58397.2023.10218309,18.170289855072465,6,94
384,158,2408.12568,0,https://arxiv.org/pdf/2408.12496,10.1007/s10458-011-9187-0,8.0,4,66
35,116,2408.12568,0,https://arxiv.org/pdf/2408.12491,10.1093/med/9780199235636.003.0012,18.170289855072465,57,129
157,61,2408.12568,0,https://arxiv.org/pdf/2408.12420,10.1201/9781003442509-15,18.170289855072465,4,53
558,387,2408.12568,0,https://arxiv.org/pdf/2408.12369,10.3166/isi.21.3.53-74,18.170289855072465,4,124
298,601,2408.12568,0,https://arxiv.org/pdf/2408.12333,10.20944/preprints202306.0430.v1,18.170289855072465,4,51
496,110,2408.12568,0,https://arxiv.org/pdf/2408.12320,10.2139/ssrn.4784122,18.170289855072465,9,39
365,260,2408.12568,0,https://arxiv.org/pdf/2408.12315,10.31224/3842,18.170289855072465,3,119
163,579,2408.12568,0,https://arxiv.org/pdf/2408.12308,10.1109/icpr.2016.7900080,7.0,2,99
626,586,2408.12568,0,https://arxiv.org/pdf/2408.12305,10.35232/estudamhsd.475125,1.0,3,94
451,156,2408.12568,0,https://arxiv.org/pdf/2408.12304,10.17771/pucrio.acad.54349,18.170289855072465,2,73
43,115,2408.12568,0,https://arxiv.org/pdf/2408.12293,10.1007/s11063-023-11274-5,1.0,6,72
112,371,2408.12568,0,https://arxiv.org/pdf/2408.12259,10.18653/v1/p16-1060,33.0,6,82
110,503,2408.12568,0,https://arxiv.org/pdf/2408.12250,10.1007/978-94-007-7914-3_7,37.0,2,48
217,452,2408.12568,0,https://arxiv.org/pdf/2408.12247,10.1109/icws60048.2023.00033,18.170289855072465,11,107
685,589,2408.12568,0,https://arxiv.org/pdf/2408.12237,10.18653/v1/d18-1449,5.0,4,69
403,580,2408.12568,0,https://arxiv.org/pdf/2408.12236,10.2139/ssrn.4551886,18.170289855072465,5,128
649,532,2408.12568,0,https://arxiv.org/pdf/2408.12214,10.1109/ijcnn.1989.118357,1.0,4,85
545,90,2408.12568,0,https://arxiv.org/pdf/2408.12212,10.14711/thesis-b672602,18.170289855072465,2,46
528,302,2408.12568,0,https://arxiv.org/pdf/2408.12184,10.7717/peerj-cs.2241/supp-8,18.170289855072465,4,87
426,661,2408.12568,0,https://arxiv.org/pdf/2408.12148,10.1109/edgecom62867.2024.00024,18.170289855072465,2,80
583,595,2408.12568,0,https://arxiv.org/pdf/2408.12133,10.1109/tpami.2024.3415112/mm1,18.170289855072465,5,52
560,360,2408.12568,0,https://arxiv.org/pdf/2408.12130,10.2514/6.2022-2084.vid,18.170289855072465,4,110
